Year,RoundNumber,Driver,StartingCompound,StartingTyreLife,FirstStintLength,avg_air_temp,avg_humidity,avg_pressure,avg_rainfall,avg_track_temp,avg_wind_direction,avg_wind_speed
2025,10,HAD,MEDIUM,1.0,13.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,HAM,MEDIUM,1.0,15.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,HUL,MEDIUM,1.0,19.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,LAW,HARD,2.0,38.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,LEC,HARD,1.0,28.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,NOR,HARD,1.0,29.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,OCO,HARD,1.0,57.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,PIA,MEDIUM,1.0,16.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,RUS,MEDIUM,4.0,13.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,SAI,HARD,1.0,57.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,STR,HARD,2.0,24.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,TSU,HARD,1.0,56.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,10,VER,MEDIUM,4.0,12.0,24.036526946107788,27.976047904191617,1018.9281437125752,0.005988023952095809,49.25329341317366,-165.93010782327138,1.0377245508982034
2025,4,ALB,SOFT,1.0,16.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,ALO,MEDIUM,1.0,16.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,ANT,SOFT,4.0,12.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,BEA,SOFT,1.0,14.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,BOR,MEDIUM,1.0,13.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,DOO,SOFT,1.0,9.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,GAS,SOFT,4.0,10.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,HAD,SOFT,1.0,6.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,HAM,MEDIUM,1.0,17.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,HUL,SOFT,1.0,5.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,LAW,MEDIUM,1.0,14.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,LEC,MEDIUM,1.0,17.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,NOR,SOFT,4.0,10.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,OCO,SOFT,1.0,8.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,PIA,SOFT,4.0,14.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,RUS,SOFT,4.0,13.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,SAI,SOFT,4.0,14.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
2025,4,STR,SOFT,1.0,12.0,27.052531645569626,45.32911392405063,1008.125316455696,0.0,31.870253164556964,26.91718456478996,2.1056962025316457
