Year,Round,GrandPrix,CircuitName,CircuitType,Location,Country,Driver,Team,LapTime_seconds,Sector1Time,Sector2Time,Sector3Time,Tyre,TyreLife,FreshTyre,TrackStatus,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,ALO,Alpine,81.043,22.413,30.54,28.09,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,BOT,Alfa Romeo,79.608,22.245,29.92,27.443,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,GAS,AlphaTauri,80.719,22.304,30.346,28.069,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,HAM,Mercedes,79.512,22.095,29.596,27.821,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,LAT,Williams,81.915,22.517,30.812,28.586,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,LEC,Ferrari,78.75,22.004,29.41,27.336,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,MAG,Haas F1 Team,79.682,22.115,30.006,27.561,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,MSC,Haas F1 Team,80.368,22.275,30.205,27.888,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,NOR,McLaren,80.471,22.088,30.153,28.23,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
2022,6,Spanish Grand Prix,Spanish Grand Prix,permanent,Barcelona,Spain,OCO,Alpine,80.638,22.353,30.389,27.896,SOFT,2.0,True,1,True,34.5,21.0,1004.0,False,3.0,178
